farm_id,farmer_id,farm_type,size_ha,gross_profit,current_profit,current_income,current_costs,ghg_emissions,nitrates,sediment,phosphates,e_coli
28808,28248,Forest,176,83790,32802,682556,598766,-2024.2,349.9,534.4,35.2,69.8
28809,28571,Forest,32,53494,24486,310298,256804,358.4,1285.8,127.1,27.8,140
28810,28230,Dairy,112,101346,101346,1153004,1051658,1193.7,4382.3,175,77.7,465
28811,28499,Forest,32,10046,9992,129176,119130,-151.1,98.6,60.5,5.5,17.1
28812,27624,Dairy,176,183919,73822,1721304,1537385,1668.3,2853.6,36.2,32.1,133.2
28813,28518,Dairy,64,74733,74716,560616,485883,570.4,2367.7,77.3,42.2,262.5
28814,27642,Dairy,176,134419,134220,1154131,1019712,1365.7,2581.4,18.4,22.1,64.1
28815,28653,Forest,48,26108,26108,224680,198572,-704.5,96.8,148.5,9.5,18
28816,26976,Dairy,112,104681,104681,1028561,923880,1090.5,1676,38.9,17.4,93.1
28817,27953,Forest,160,101647,69704,737694,636047,-2260.3,321.1,480.5,31.8,62.7
28818,28206,Dairy,64,94329,94232,552458,458129,658.8,2475.7,252,54.4,152.1
28819,27712,Dairy,64,71238,18454,395502,324264,523.8,1111,19.1,14.8,124
28820,28171,Forest,80,70825,70825,429442,358617,-752.4,800.9,252.8,27,97.1
28821,28149,SNB,64,5315,5315,62339,57024,151.8,623.6,113.9,15,98.8
28822,27892,Dairy,240,313137,155980,2135832,1822695,2276.2,8406.8,387.3,123,524.3
28823,27952,Dairy,32,39486,39421,305782,266296,333.7,1053.7,44.8,15.5,53.2
28824,27516,Forest,144,116172,77284,664528,548356,-2131.9,289,436.6,28.8,58.3
28825,28641,Dairy,48,56997,56997,451310,394313,424.7,807.8,14.4,11.1,83.1
28826,28620,Dairy,32,65242,65144,342427,277185,291.1,487,6.5,6.2,34.9
28827,28303,Dairy,192,195938,195809,1234396,1038458,1635.5,3623,113.8,42.8,102.5
28828,27666,Forest,96,7466,1881,95339,87873,243.2,1050.8,479.9,38.3,331.3
28829,27966,Forest,32,17717,15605,121162,103445,-349.5,63.9,95.6,6.5,13.1
28830,28701,Dairy,48,43163,10927,494897,451734,508,1693.7,57.2,35,151.5
28831,28631,Dairy,64,71781,20331,528083,456302,268.1,1876.3,104.6,34.5,187.8
28832,28365,Forest,160,69215,69215,615411,546196,-1796.9,322.9,480.6,31.6,64.5
28833,27247,Crop,144,225010,159965,622441,397431,154.9,2812.2,149.3,57.7,28.9
28834,27665,Forest,96,126495,54499,729571,603076,862.9,3723.5,384.4,79.7,325.1
28835,28640,Dairy,64,61599,61599,552693,491094,607.6,2150,89.3,28.7,118.8
28836,28297,Dairy,64,66062,65220,580775,514713,563.1,946.3,6.6,8.1,22.5
28837,27313,Dairy,112,116214,11170,1235716,1119502,1174.9,4125.1,441.1,91.5,268
28838,27073,SNB,368,3391,0,490263,486872,897.8,1791.7,270.9,52.2,350.1
28839,27458,Dairy,80,71978,71974,467286,395308,680.3,3068.2,97.5,54,342.8
28840,27281,Dairy,48,71621,71460,392699,321078,445,786.9,47.1,13.8,58.9
28841,28354,Dairy,80,116328,116113,780876,664548,817.9,3008.6,316.6,65.5,175.4
28842,28296,Dairy,32,32379,32379,292290,259911,301.8,476.1,3.3,4.5,24.2
28843,28226,Dairy,368,408903,333253,2342189,1933286,3000.4,6013.4,288,96.7,361.2
28844,27869,Dairy,176,205395,104442,1581380,1375985,1625,2665.8,30.2,24,131.2
28845,27307,Dairy,128,166181,92476,1102966,936785,1291.6,2182.4,127.9,36.5,254
28846,27499,SNB,144,7816,7807,231483,223667,407.5,705.4,159.5,27.7,204.3
28847,27582,Forest,64,47426,39336,294862,247436,-981.4,127.8,194.1,12.7,24.8
28848,28068,Dairy,48,45807,12223,454106,408299,500.2,1845.1,191.5,40,229.9
28849,27358,SNB,256,-9012,-9012,215027,224039,497.6,1108.2,122.1,28.3,168
28850,27085,Dairy,48,31258,31161,444598,413340,505.8,1639.4,66,21.6,40.3
28851,28663,SNB,64,16541,11698,120158,103617,-46.5,516.7,290.8,22.7,178.4
28852,27924,Forest,224,12183,0,228243,216060,561.9,1190.5,1080.6,58.4,380.8
28853,28288,Dairy,96,112839,112839,817811,704972,864.3,1445.4,10,12.5,33.1
28854,28175,SNB,112,16958,3127,162913,145955,328.4,1182.4,577.6,36,257.1
28855,28036,Forest,64,41376,17872,355682,314306,-549.5,748.5,205.2,23.8,95.2
28856,28283,Dairy,64,69495,69478,576294,506799,612.3,966.9,6.7,7.9,45.6
28857,28600,Forest,48,29742,29742,211998,182256,-696.2,95.4,143.5,9.4,19.3
28858,27065,Dairy,192,221623,221193,1058188,836565,1140.3,2759.3,143.6,49.3,268.4
28859,26882,Dairy,256,219734,219056,1618117,1398383,2059.5,5148.1,103.1,74,262.4
28860,28324,Forest,48,89305,55924,493927,404622,541.9,1711,191.5,40.1,225.9
28861,27292,SNB,128,-3016,0,141904,144920,284.2,753.5,202.1,19.4,117
28862,28310,Dairy,32,72936,72850,369561,296625,334.5,1373.7,126.8,24.8,72.2
28863,28030,Dairy,96,83634,83634,853440,769806,893.5,1603.7,28.8,22.7,170.5
28864,27412,Dairy,112,202428,132598,518939,316511,133.4,2301.6,113.9,43.9,22.3
28865,27947,Dairy,128,163163,163163,1132605,969442,1276.4,2140.4,127.1,36.4,128.8
28866,28387,Dairy,64,90929,90779,529521,438592,559.8,1030.1,18.3,9.3,43
28867,28491,Dairy,48,33611,33517,423464,389853,458.2,759.4,5,5.8,27.9
28868,28353,SNB,96,-52,-52,89388,89440,222.3,478.8,117.3,19,134.3
28869,28573,Forest,64,92465,40975,567658,475193,557.2,2413.6,76.4,44.2,259.8
28870,28218,Dairy,64,92505,92505,611889,519384,549.2,938.2,6.7,7.7,23.9
28871,28151,Dairy,64,45569,45569,587763,542194,572,932.8,6.7,8.6,29.8
28872,27537,Dairy,128,159142,158798,808655,649513,1022.8,4720.8,149.4,84.4,260.2
28873,26947,SNB,144,23807,23807,223897,200090,478.4,1475.5,775,38,239.6
28874,27682,Dairy,128,196524,144868,1407647,1211123,1323.9,4955.6,510.1,107.2,566.1
28875,27797,SNB,64,16015,5485,171786,155771,200.6,620.7,190.1,16,105.8
28876,27524,Forest,48,22712,22712,191267,168555,-550.7,95.5,145.6,9.8,18.8
28877,28289,Forest,128,131758,63273,898927,767169,-683.2,2066.3,304.8,48.4,240.7
28878,28429,Dairy,64,76832,76832,408796,331964,513.3,2475.4,258,53.4,299.1
28879,27506,Forest,288,139622,139622,1106879,967257,-3357.8,575.7,869.8,57.4,113.4
28880,28186,Forest,96,72860,72860,453893,381033,-1386.7,192.5,292.5,19.2,38.8
28881,27876,Dairy,64,73579,46665,567131,493552,551.6,1078.5,19.1,14.4,61.1
28882,28580,Dairy,48,73177,73177,450007,376830,448.6,1681.5,20.1,17.3,81.6
28883,27179,SNB,368,21117,7161,254329,233212,871.2,3193.6,3205.4,114.1,806
28884,27131,Dairy,128,77433,77429,1059052,981619,1115.7,1978.4,13.3,16.3,46.7
28885,28114,Dairy,96,132321,132192,958442,826121,981.2,2665.4,101,36,73.6
28886,26914,Dairy,64,54848,54831,533908,479060,592.3,2381.2,75.9,42.3,137.2
28887,27426,Dairy,96,109317,27228,608413,499096,815.9,1461.2,74.1,24.6,82.1
28888,28293,Dairy,96,127574,127305,917374,789800,993.2,1590.3,96.2,26.4,185.1
28889,27214,Forest,128,124871,124871,924150,799279,-627.8,1943.9,427.5,55.6,247.1
28890,27055,Forest,80,64489,35161,368780,304291,-1141.8,160.1,239.8,15.8,31.8
28891,27871,Dairy,272,272662,190629,1661448,1388786,2064.5,4217.9,94.9,42.7,214.6
28892,28551,Dairy,64,60168,59953,459365,399197,595.8,1069.9,52.7,18.3,61
28893,27283,Dairy,192,377447,287681,2053257,1675810,1937.6,6437.4,95.6,73.5,235.2
28894,28360,Forest,96,52235,52235,376307,324072,-1153.8,191.7,288.1,18.9,38
28895,28366,Dairy,64,116610,116593,583295,466685,606.9,2327.9,76.2,44.2,255.2
28896,27208,Dairy,240,308048,308016,2576969,2268921,2412.4,3874.2,101.2,42.4,210.8
28897,27324,Forest,48,11092,11092,185236,174144,-545.9,95.6,141.3,9.3,19.5
28898,27889,Dairy,144,258571,258517,1596372,1337801,1544.2,5194.5,154.6,89.8,550.9
28899,28552,Dairy,80,75195,75066,630015,554820,703.4,1260.8,8.3,10.1,30.8
28900,28686,SNB,48,6625,6593,56458,49833,115.2,504.6,136.2,11.3,86.7
28901,27974,Dairy,80,104784,104784,779543,674759,808.6,3093.8,312.2,68.8,214.8
28902,28574,Dairy,64,116065,75174,717225,601160,697.2,2380.4,255.4,53,282.6
28903,28077,SNB,176,25380,0,281180,255800,501.4,1910.5,803.3,71.6,633.8
28904,28073,Dairy,224,325135,325135,1965643,1640508,2318.8,8861.2,891.1,191.7,990.3
28905,27637,Forest,224,197518,154238,1147683,950165,-992.7,3252.4,701.7,97.5,400
28906,27238,SNB,80,9791,9791,230058,220267,321,897.2,1061.6,40.7,329.6
28907,27669,SNB,96,-18615,0,198483,217098,272.8,442.8,34.8,10.5,63
28908,28008,Forest,96,78832,0,442748,363916,-1448.4,192.1,284.1,19.6,37.2
28909,27738,SNB,64,22487,0,315238,292751,271.1,475.3,19.2,9.2,61.2
28910,28559,Dairy,48,38252,38091,377613,339361,434,674.4,16.7,7,19.5
28911,28544,Dairy,112,149972,63969,935905,785933,1068,3863.9,138.9,69.8,194.5
28912,27609,Dairy,144,145998,145821,1104115,958117,1220,3957.3,121.8,47.9,108.8
28913,27585,Crop,96,134320,134320,403739,269419,100.7,814.2,8.4,11.7,3.5
28914,27430,SNB,128,-2693,-2693,339097,341790,409.2,615.9,125.2,25.3,180.2
28915,26951,Forest,288,149058,116054,970073,821015,-2717.9,971,1528.3,71.5,292.6
28916,27718,Dairy,80,94899,94890,763273,668374,740.3,1236.8,14.8,12.7,48.5
28917,28618,SNB,80,2784,0,71515,68731,163.7,360.9,76.9,13.5,93.5
28918,27268,Dairy,128,155761,155761,1028552,872791,1163.8,4625.1,280.4,79.2,183.8
28919,27462,Dairy,64,104210,86544,575130,470920,674.6,2342.4,256.6,54.3,302.7
28920,28710,Dairy,32,24957,24957,273779,248822,322.2,1059.1,128.5,26.9,77.3
28921,27660,Dairy,48,73984,73887,335623,261639,394.6,1601,20.3,18,72.6
28922,26918,Dairy,112,88900,88900,920052,831152,1048.7,1641.5,39.1,18,93
28923,27254,Dairy,144,190659,70869,1167483,976824,727.5,4200.3,442.6,90.8,458.3
28924,28192,Forest,64,41975,41975,275127,233152,-927.6,127.9,194.4,12.9,25.6
28925,27076,Forest,320,153251,153251,1221080,1067829,-3675.9,641.5,951.1,64.3,127.9
28926,27284,SNB,96,18500,18491,124649,106149,267.8,1036.2,475.9,38.5,361.3
28927,28150,Dairy,80,103248,102528,688026,584778,710.5,2627.8,33,29,68.8
28928,26883,Dairy,96,117163,117163,671088,553925,587.2,1228.5,9.5,12.4,23.9
28929,27946,Crop,96,162692,162423,447382,284690,109.9,909.1,20,18.5,7.9
28930,26881,Dairy,192,229872,229872,1643866,1413994,1843.8,7339.6,230.2,129.6,762.2
28931,27477,Dairy,112,145273,114092,1035302,890029,1102.3,4198.3,221.6,82.1,232.5
28932,28105,SNB,128,-7018,0,140058,147076,282.4,543.1,55.8,14.2,80.9
28933,27708,SNB,192,19086,19064,380705,361619,-127.2,1372.3,871.8,48,290.7
28934,27367,Dairy,128,194072,193813,1021519,827447,1184.8,4720.2,151.5,82.8,264.3
28935,28017,Dairy,160,194953,194949,1214316,1019363,1497.1,2654,134.9,42.6,298.6
28936,28497,SNB,80,16610,0,208127,191517,311.9,861.6,92.7,19.9,119.6
28937,27300,SNB,416,84972,84972,1307073,1222101,1514.8,4668.8,1587.4,166.8,1509.6
28938,26999,Dairy,112,136387,136383,981849,845462,1203.3,4196.2,405.7,90.9,517.5
28939,28245,Dairy,128,147315,56093,1214158,1066843,1265.7,2227.9,53.7,23.7,104.5
28940,28433,Forest,64,49323,49323,248859,199536,-525.5,407.4,163.6,16.1,22.3
28941,27887,Dairy,112,92688,10311,1012408,919720,986.8,1605.8,11.7,13.5,79.3
28942,27221,Dairy,96,113874,112632,645388,531514,814.4,1402.5,33.7,15.2,76.1
28943,27904,Dairy,80,83561,83410,583818,500257,404.7,1981.3,117.5,27.9,97.7
28944,27337,Dairy,112,56756,25092,988074,931318,1044,1725.1,11.8,14,80.9
28945,28509,SNB,64,26258,10595,243111,216853,301.6,1008.3,297.9,26.9,159.3
28946,28173,Dairy,80,90022,89951,662592,572570,733.2,1355.7,23.9,18.9,138.4
28947,28209,Forest,80,50057,50057,364527,314470,-1186.6,159,235.8,16.3,31.9
28948,27556,Forest,128,79740,79740,585138,505398,-1771.8,256,386.2,25.5,49.8
28949,28656,SNB,32,1926,0,52827,50901,83,125.4,10.9,3.5,20.7
28950,28013,SNB,160,27334,27334,281522,254188,533.6,1654.3,2025.6,72.2,576.8
28951,28378,Dairy,96,137631,78057,959246,821615,1037.1,3633.7,380,82.2,294.4
28952,27490,Dairy,272,285493,142453,1850705,1565212,1962.5,4153.8,131.8,51.1,252.7
28953,27133,Dairy,64,27782,27782,506725,478943,594,1000.3,16,13.1,48.1
28954,28254,Dairy,32,23843,0,298187,274344,311.2,470.8,11.3,4.9,24
28955,27804,Dairy,240,283041,92696,2073778,1790737,2254.8,7961.3,333.4,114.5,219.8
28956,27815,Forest,160,100230,100230,588487,488257,-1278.4,711.6,566.8,36.5,132
28957,28375,SNB,32,-791,0,84279,85070,93.1,136,10.4,3.3,20.9
28958,28315,Forest,112,72798,72798,492599,419801,-1556.2,223.7,329.5,22.3,44.8
28959,27449,Dairy,160,171488,120643,1360200,1188712,1492.6,2643,47.8,37.6,284.6
28960,27185,Forest,64,57966,57966,313830,255864,-511.5,685.3,148.1,16.2,30.9
28961,28647,SNB,64,7111,7111,102836,95725,198.4,640.3,223.3,22.9,200.4
28962,28346,SNB,64,-721,-721,55053,55774,120.3,287.9,30.9,7,41.8
28963,27908,Dairy,112,159579,69667,1165465,1005886,1169.8,3484.2,324.8,74.3,207.9
28964,27831,Dairy,64,83610,83593,567956,484346,624.3,2417.9,76.4,42.2,265.9
28965,28101,Dairy,64,75310,63631,457390,382080,556.2,1923.3,41.1,22.6,45.7
28966,28481,Dairy,96,84383,54861,738150,653767,520.9,1440,125.6,25.4,84.4
28967,27410,Forest,80,94572,53628,330197,235625,86.2,1131.6,19.9,15.2,4.9
28968,28046,Dairy,48,65657,20479,391358,325701,429.3,807.6,14.5,11.4,81.2
28969,27443,Dairy,80,99773,99773,731125,631352,775.3,3100.8,95.8,50.6,315.9
28970,27081,Dairy,64,64775,64609,476415,411640,595.6,1446.6,77.9,26,106.6
28971,28579,Dairy,80,128473,128312,772460,643987,786.6,2085.1,52,31.3,103.1
28972,27505,Dairy,80,126706,79092,789121,662415,794.5,3209.4,317.2,65.6,349.8
28973,27380,SNB,112,6582,1786,108774,102192,274.5,1072.9,581.4,29.1,196.9
28974,27998,Dairy,96,144443,144443,976744,832301,895,3156.3,322.1,69.2,375.4
28975,26985,SNB,464,98799,98795,1180182,1081383,-1784,1543.5,827.3,76.1,295.2
28976,28136,Forest,96,84122,31765,462046,377924,-921.7,398.5,243.6,20.1,46.1
28977,28093,Forest,96,67896,26364,425497,357601,-1292.8,193.9,284.2,19.2,38.9
28978,28662,Dairy,48,52363,52195,405471,353108,482.1,1624.5,147.8,32.8,83.5
28979,26948,Dairy,160,144815,0,1193632,1048817,1373.9,2476,16.5,20.4,62
28980,28519,Dairy,80,89956,19665,728234,638278,443.3,2424.5,190.9,42.9,206.7
28981,26884,Dairy,112,128003,127756,1147597,1019594,1109.5,1600.7,39.3,18.1,89.1
28982,28084,Forest,96,100130,44259,532705,432575,-113.7,1236.3,241.1,33.5,120.4
28983,26898,SNB,224,10294,10063,270331,260037,576.2,1505.3,780.8,56,433.6
28984,27711,Dairy,80,103900,103900,705866,601966,766.3,1261.2,70,21.5,141.5
28985,27158,Dairy,128,200607,100772,1012698,812091,154.6,3131.1,461.8,76,196.3
28986,26966,Dairy,64,96233,96018,590788,494555,652.1,1114.4,64.1,18.5,122.1
28987,27213,Dairy,112,106490,106093,913622,807132,1054.9,2829.4,77.5,45.3,253.1
28988,27584,Dairy,176,227794,227794,1388196,1160402,1660.5,4327.2,365.8,85.9,519.6
28989,27809,Forest,96,9488,0,260915,251427,327,475.7,312.1,24.3,152.1
28990,27853,SNB,176,-2489,-2489,284478,286967,456.8,1249.8,176.1,28.1,190.5
28991,28707,Dairy,80,142145,82745,785147,643002,755,1319.5,20.8,17.1,69.3
28992,28141,Forest,48,41582,41582,229333,187751,-693.3,95.4,144.6,9.8,19
28993,27316,Dairy,80,59722,0,573285,513563,92.9,1234.5,192.6,28.8,119.5
28994,27676,Dairy,160,293318,124126,1557938,1264620,1617.9,2709.6,159.4,47,330.4
28995,27373,Dairy,320,390264,390167,1938657,1548393,2406.3,11173,133.5,118.6,519.2
28996,27670,Dairy,160,189496,189258,1088755,899259,1281.9,4876.3,140.1,81.5,485.6
28997,27971,SNB,320,-60772,0,909540,970312,995,2030.2,325.9,55.7,406.8
28998,27014,Dairy,64,95162,95162,723089,627927,665.3,2299.4,77.7,42,257.5
28999,27441,Dairy,64,54231,29543,678717,624486,629.7,1103.4,19.2,14.4,56
29000,28031,Dairy,128,192090,131376,1139999,947909,1296.5,4742.1,153.8,86.1,520
29001,28120,Dairy,32,33593,33593,310860,277267,298.4,710.6,8.3,7.9,19.5
29002,27941,Dairy,64,113486,69577,628346,514860,651.8,2254.4,252.1,54,302.4
29003,27400,Dairy,112,194564,194564,1082627,888063,1093.3,3905.6,155.2,52.2,100.5
29004,28318,Dairy,32,44761,44707,328843,284082,347.8,723.3,28.3,10.1,42
29005,27512,Dairy,128,115902,13150,1047401,931499,581,3548.5,210.8,72.9,419.5
29006,27563,SNB,160,68708,68708,710182,641474,780.1,2193.9,1623.5,80.7,602.3
29007,27161,Dairy,80,81384,81352,716276,634892,734.6,1459.6,13.2,14.1,36.6
29008,28546,SNB,208,16316,16264,197578,181262,447.7,2004.7,597.2,49.2,368.9
29009,28089,Dairy,144,206459,206425,1397707,1191248,1382.9,5462.8,172.8,100.7,579.9
29010,28066,Forest,112,67185,48301,436434,369249,-1344.7,223.7,336.8,22.5,44.8
29011,28597,Dairy,128,161032,160967,978242,817210,1102.7,3385.3,38.3,35.2,142.6
29012,27287,SNB,80,23820,15976,228802,204982,295.1,900.2,1018.6,40.5,309.8
29013,28048,Dairy,80,105925,105796,636573,530648,738.6,2873.2,184.5,58.7,233.4
29014,27186,Dairy,80,179615,179561,874291,694676,919.8,2780.4,275.3,57.9,321.6
29015,28044,Dairy,192,246711,200940,1594600,1347889,1826.9,5750.6,406.2,105.5,511.4
29016,28611,Dairy,64,82876,82661,604794,521918,632.8,1099.5,65,18.5,135.6
29017,28127,Dairy,128,147294,147294,1102014,954720,1148.5,1994,38.3,30,118.3
29018,28097,Dairy,80,117179,117082,749863,632684,812.9,2767.6,193.4,50.7,113.3
29019,27942,SNB,128,3094,0,161993,158899,314.1,580.3,248.8,19.9,129.4
29020,27018,Forest,96,48233,43889,377036,328803,-1131.5,193.7,290.6,19.1,39.4
29021,28527,Forest,32,20993,13070,145906,124913,-479.6,64,96.4,6.7,12.9
29022,27175,Dairy,64,63530,43311,578636,515106,597.5,950.1,9.8,9.4,65.8
29023,27550,SNB,128,24593,8919,367658,343065,489.5,1368.2,510.2,51.7,476.8
29024,27094,Dairy,80,79580,79206,573454,493874,697.2,1271.4,34.2,14.1,65.1
29025,27764,Dairy,144,218535,165037,1390841,1172306,1461.6,4988.8,200.4,67.5,129
29026,26865,Dairy,128,139910,139910,1200569,1060659,1273.1,4764,152.4,83.1,261
29027,28274,SNB,80,53347,40286,363751,310404,445.3,1749.4,736.8,46,324.1
29028,28170,Dairy,96,178446,103948,965912,787466,993.4,3724.8,380.1,78.7,270.8
29029,26968,Dairy,96,102806,69153,798828,696022,920.8,1347.6,34.3,16.1,77.3
29030,27323,SNB,80,1594,1389,133836,132242,213.7,335.6,29.8,9,54.2
29031,28651,Dairy,80,113377,113377,720689,607312,813.3,3157.2,317.7,71,351.5
29032,28344,Forest,144,79250,79250,560991,481741,-1730.3,289.4,434.3,28.5,57.9
29033,27511,Dairy,96,85170,85170,904090,818920,881,3728.7,115.6,64.4,391.1
