farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_service_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26886,29348,Dairy,96,for_profit,54,FALSE,2,791872,3,243760.5792483978,92832,20,FALSE,0.176,2,13,8,0,0,0,0,126,88
26887,29589,SNB,320,pro_environmental,66,FALSE,3,293840,3,293840,24614,10,FALSE,0.422,4,9,10,0,1,4,1,11,319
26888,29249,Dairy,112,for_profit,39,FALSE,3,539973,3,539973,36295,5,FALSE,0.256,3,13,13,3,1,0,2,78,138
26889,29870,Dairy,224,for_profit,65,TRUE,4,5808,3,3330.0959027449608,681,15,FALSE,0.001,5,17,10,2,2,0,4,137,208
26890,29763,Forest,1120,for_profit,75,TRUE,1,0,0,0,0,21,TRUE,0,6,8,16,0,0,0,0,174,10
26891,29789,Dairy,48,for_profit,67,TRUE,2,1920,3,1540.6401678778104,129,10,FALSE,0.002,1,9,13,1,1,1,1,69,199
26892,30438,Forest,80,for_profit,71,TRUE,1,0,0,0,0,21,TRUE,0,1,16,11,0,0,0,0,101,247
26893,30258,Dairy,160,for_profit,48,FALSE,4,685902,3,685902,46103,5,FALSE,0.244,3,11,14,1,1,2,1,76,161
26894,29411,Dairy,224,for_profit,63,FALSE,2,1079679,3,866352.5186532013,72571,10,FALSE,0.29,4,9,10,2,0,3,0,75,121
26895,29754,Dairy,64,for_profit,63,FALSE,2,587668,3,180900.81741209113,39501,20,FALSE,0.155,1,10,11,1,0,0,0,71,125
26896,29121,Dairy,288,for_profit,47,FALSE,3,2155139,3,2155139,144859,5,FALSE,0.447,3,11,9,3,2,0,1,138,23
26897,29736,Dairy,112,for_profit,47,TRUE,3,800,3,641.9334032824211,54,10,FALSE,0,2,10,16,2,2,0,2,51,153
26898,28983,SNB,224,for_profit,67,FALSE,3,2356,3,2356,197,5,FALSE,0.004,8,12,9,0,0,4,4,137,53
26899,29455,SNB,32,for_profit,56,FALSE,2,39392,3,39392,2648,5,FALSE,0.528,2,11,9,0,0,2,1,11,283
26900,30341,SNB,176,for_profit,42,TRUE,2,5280,3,3027.359911586328,355,15,FALSE,0.006,1,13,9,1,0,0,0,28,272
26901,29262,Dairy,128,for_profit,79,TRUE,2,512,3,512,34,0,FALSE,0.001,2,14,10,2,0,2,0,95,190
26902,29759,Forest,64,pro_environmental,42,TRUE,4,0,0,0,0,21,TRUE,0,1,12,12,0,0,0,0,77,169
26903,29072,Dairy,208,for_profit,66,TRUE,2,0,0,0,0,21,TRUE,0,1,17,14,0,1,1,1,77,246
26904,30015,Dairy,80,pro_environmental,73,TRUE,3,64,3,51.35467226259368,4,10,FALSE,0,3,11,9,0,1,1,0,63,181
26905,30196,Dairy,96,for_profit,65,FALSE,2,1029538,3,826118.5401857215,69201,10,FALSE,0.4,2,7,15,0,1,2,0,112,171
26906,29042,SNB,208,pro_environmental,46,FALSE,2,129004,3,129004,8671,5,FALSE,0.306,1,15,10,0,0,0,1,52,132
26907,30530,Forest,1280,for_profit,63,FALSE,1,0,0,0,0,21,TRUE,0,2,11,9,0,0,0,0,128,34
26908,30106,Dairy,64,for_profit,50,FALSE,4,907677,3,907677,61010,5,FALSE,0.779,1,11,8,0,0,0,0,73,250
26909,30287,Forest,240,pro_environmental,60,TRUE,2,0,0,0,0,21,TRUE,0,2,7,15,0,0,0,0,16,249
26910,29382,Forest,496,pro_environmental,68,FALSE,2,1098996,3,338302.02551886183,73870,20,FALSE,0.129,4,6,13,0,0,0,0,124,240
26911,29969,Forest,1264,for_profit,72,FALSE,1,0,0,0,0,21,TRUE,0,6,10,13,0,0,0,0,152,20
26912,29613,Dairy,48,pro_environmental,59,TRUE,2,99023,3,30482.077708157496,21622,20,FALSE,0.035,1,15,12,0,1,0,0,77,239
26913,29975,Dairy,64,for_profit,58,TRUE,2,0,0,0,0,21,TRUE,0,1,14,12,0,1,0,0,136,214
26914,28886,Dairy,64,for_profit,40,FALSE,1,572938,3,572938,47993,10,FALSE,0.491,1,13,11,1,1,0,0,36,263
26915,29480,Dairy,128,for_profit,55,TRUE,2,1600,3,1600,108,5,FALSE,0.001,2,16,13,0,0,2,2,115,136
26916,29699,SNB,80,for_profit,46,FALSE,3,147142,3,147142,9890,5,FALSE,0.238,3,12,15,1,0,0,0,30,256
26917,30395,Dairy,80,for_profit,49,TRUE,3,781676,3,448184.5807290065,52541,15,FALSE,0.315,3,13,10,0,2,0,0,140,107
26918,28922,Dairy,112,for_profit,76,TRUE,1,448,3,359.48270583815577,30,10,FALSE,0,1,10,9,0,0,1,1,49,272
26919,29856,Dairy,80,for_profit,75,TRUE,1,2588,3,1483.8650475729955,217,15,FALSE,0.001,3,12,10,0,2,2,2,86,179
26920,30220,Forest,640,pro_environmental,57,TRUE,2,0,0,0,0,21,TRUE,0,9,12,12,0,0,0,0,144,65
26921,29604,SNB,352,for_profit,55,TRUE,3,1280,3,1280,86,0,FALSE,0.13,2,14,12,0,0,1,2,60,127
26922,29488,Dairy,160,pro_environmental,63,FALSE,2,1736886,3,995867.2438249111,116746,15,FALSE,0.337,3,10,11,0,0,2,1,60,204
26923,29291,SNB,192,for_profit,53,FALSE,3,214079,3,214079,14389,5,FALSE,0.493,4,8,16,4,0,2,0,163,48
26924,30203,Dairy,112,for_profit,51,FALSE,3,1300326,3,1043403.3681957717,87402,10,FALSE,0.511,1,17,17,0,0,0,0,39,261
26925,29036,Dairy,96,pro_environmental,53,TRUE,2,384,3,384,26,0,FALSE,0,2,14,14,2,0,2,2,93,144
26926,30328,Dairy,96,for_profit,49,TRUE,1,6732,3,6732,564,5,FALSE,0.003,1,15,11,1,0,0,1,88,143
26927,30578,Dairy,112,for_profit,65,TRUE,2,0,0,0,0,21,TRUE,0,2,16,13,0,0,1,1,79,170
26928,29425,SNB,192,for_profit,45,TRUE,3,4800,3,1477.5756440337698,323,20,FALSE,0.003,2,11,11,0,0,0,1,64,138
26929,29136,SNB,160,for_profit,63,TRUE,2,6400,3,6400,430,5,FALSE,0.019,2,9,11,0,0,0,2,138,235
26930,30505,SNB,240,for_profit,58,TRUE,3,0,0,0,0,21,TRUE,0,1,14,8,0,0,0,1,55,130
26931,29711,Dairy,160,for_profit,57,FALSE,4,2257714,3,2257714,151754,5,FALSE,0.79,3,11,9,2,0,2,0,87,217
26932,30558,Dairy,48,for_profit,66,TRUE,2,640,3,640,43,0,FALSE,0,3,8,11,3,1,3,3,109,133
26933,30123,Dairy,64,for_profit,48,TRUE,2,4301,3,1323.9693427060924,504,20,FALSE,0.001,1,14,9,1,0,0,1,142,212
26934,30280,Forest,208,for_profit,44,FALSE,3,708726,3,218165.89081114114,47638,20,FALSE,0.118,1,15,13,0,0,0,0,113,166
26935,29713,Forest,128,for_profit,54,FALSE,1,205742,3,63333.20169891581,13829,20,FALSE,0.087,2,12,14,0,0,0,0,123,206
26936,30222,Forest,80,for_profit,54,TRUE,3,0,0,0,0,21,TRUE,0,1,14,12,0,0,0,0,90,260
26937,28793,Dairy,48,for_profit,53,TRUE,2,1920,3,1920,129,5,FALSE,0.002,1,14,11,1,1,0,0,90,255
26938,29750,SNB,240,for_profit,62,TRUE,3,0,0,0,0,21,TRUE,0,1,12,13,0,0,0,1,77,148
26939,29978,Dairy,80,for_profit,58,TRUE,4,584,3,584,128,15,FALSE,0,2,13,17,1,0,2,0,113,115
26940,30215,Forest,64,for_profit,53,TRUE,5,430297,3,246716.6454310345,28923,15,FALSE,0.359,2,13,9,1,0,0,0,71,181
26941,29458,Forest,256,for_profit,71,TRUE,1,0,0,0,0,21,TRUE,0,4,11,8,0,0,0,0,141,21
26942,30197,Dairy,192,for_profit,64,FALSE,3,2488594,3,1996889.5197602666,167273,10,FALSE,0.587,7,11,10,0,0,5,1,113,65
26943,29886,Dairy,656,for_profit,68,FALSE,2,0,0,0,0,21,TRUE,0,2,7,12,0,0,0,2,45,217
26944,30098,Dairy,144,for_profit,45,FALSE,1,706262,3,706262,47472,5,FALSE,0.279,3,12,13,2,0,0,1,124,90
26945,30149,Forest,176,pro_environmental,50,TRUE,3,0,0,0,0,21,TRUE,0,2,12,12,0,0,0,0,127,166
26946,30334,Dairy,64,for_profit,57,FALSE,4,711057,3,218883.43848327507,47794,20,FALSE,0.174,1,11,14,0,0,0,0,45,138
26947,28873,Dairy,144,for_profit,62,FALSE,1,9481,3,9481,794,5,FALSE,0.002,2,14,8,1,0,0,1,129,224
26948,28979,Dairy,160,for_profit,73,TRUE,2,5329,3,5329,625,10,FALSE,0.002,3,9,11,2,2,0,2,57,142
26949,29996,Dairy,176,for_profit,58,FALSE,1,2173886,3,669183.5430220824,146119,20,FALSE,0.172,1,12,10,0,0,0,0,118,114
26950,29678,Dairy,64,for_profit,54,TRUE,3,192,3,110.08581496677556,13,15,FALSE,0,2,13,13,0,0,2,0,111,55
26951,28915,Forest,288,for_profit,52,TRUE,3,322846,3,259057.0393951456,21700,10,FALSE,0.173,4,10,11,0,0,0,0,139,39
26952,29522,Dairy,144,for_profit,58,FALSE,1,1447201,3,829772.4036756904,97275,15,FALSE,0.337,2,12,13,0,1,0,1,60,124
26953,29953,Dairy,96,for_profit,60,FALSE,2,1366823,3,783686.5826579847,91872,15,FALSE,0.457,4,14,11,3,1,2,0,120,51
26954,29179,Dairy,32,for_profit,54,TRUE,1,800,3,641.9334032824211,54,10,FALSE,0.001,2,11,10,0,2,1,1,146,239
26955,29782,Forest,128,pro_environmental,58,FALSE,5,911044,3,911044,61236,5,FALSE,0.712,3,10,13,1,0,0,1,143,82
26956,29599,Forest,784,for_profit,71,TRUE,3,0,0,0,0,21,TRUE,0,2,9,8,0,0,0,0,21,248
26957,29331,Dairy,96,pro_environmental,56,TRUE,3,256,3,256,17,0,FALSE,0,3,9,12,3,3,2,0,79,193
26958,30266,Dairy,512,for_profit,64,FALSE,4,2570970,3,2570970,172810,5,FALSE,0.284,6,9,15,2,1,0,3,98,220
26959,30316,Dairy,112,for_profit,63,FALSE,2,985601,3,790862.7552606968,66248,10,FALSE,0.397,3,7,13,3,3,0,3,56,200
26960,29302,SNB,368,for_profit,66,TRUE,5,604574,3,604574,50643,10,FALSE,0.575,5,8,13,2,0,1,2,148,60
26961,29680,Dairy,288,pro_environmental,63,FALSE,2,-71600,3,-71600,-4813,0,FALSE,0,2,12,12,0,2,0,0,179,32
26962,29383,SNB,80,for_profit,78,TRUE,0,2400,3,2400,161,5,FALSE,0.012,3,15,11,0,1,0,2,102,237
26963,29629,Dairy,336,for_profit,74,FALSE,2,4683,3,2685.0618306740103,549,15,FALSE,0,5,17,9,5,0,2,0,109,72
26964,29883,Dairy,128,for_profit,43,FALSE,3,1486264,3,1486264,99900,5,FALSE,0.66,4,15,10,0,0,3,0,80,123
26965,30073,Dairy,336,pro_environmental,57,TRUE,3,5487,3,5487,460,5,FALSE,0.001,4,10,11,3,2,0,2,109,59
26966,28986,Forest,64,for_profit,46,FALSE,4,415275,3,415275,27913,5,FALSE,0.33,1,9,15,0,0,0,0,54,218
26967,29062,Dairy,256,for_profit,64,FALSE,2,2078054,3,639683.7452889482,139678,20,FALSE,0.148,2,11,14,0,0,0,0,61,140
26968,29029,Dairy,96,for_profit,74,TRUE,2,0,0,0,0,21,TRUE,0,1,9,12,0,0,0,1,69,286
26969,29273,Dairy,96,for_profit,68,TRUE,4,3188,3,2558.1046120804476,267,10,FALSE,0.001,1,12,8,1,0,1,1,76,255
26970,30431,Dairy,208,for_profit,44,TRUE,2,3651,3,3651,428,10,FALSE,0,6,13,9,4,0,5,4,136,133
26971,29074,SNB,144,for_profit,50,TRUE,3,16670,3,16670,1120,5,FALSE,0.037,3,14,10,3,0,3,1,133,77
26972,29683,SNB,432,for_profit,61,TRUE,5,8681,3,8681,727,5,FALSE,0.004,3,9,16,3,0,0,3,39,223
26973,29423,Dairy,32,pro_environmental,49,FALSE,3,100569,3,57662.60586142527,11790,15,FALSE,0.092,1,19,11,0,1,1,0,52,238
26974,29447,Dairy,192,for_profit,46,TRUE,5,231818,3,132916.00757274986,27176,15,FALSE,0.037,4,10,11,3,4,2,4,129,88
26975,29440,Forest,96,for_profit,60,FALSE,2,222424,3,127529.82973005253,14950,15,FALSE,0.301,2,8,12,0,0,1,0,140,197
26976,28816,Forest,112,for_profit,56,TRUE,2,0,0,0,0,21,TRUE,0,1,13,7,0,0,0,0,99,159
26977,30549,Dairy,112,for_profit,57,TRUE,3,2148,3,2148,252,10,FALSE,0,2,14,13,1,0,2,2,97,252
26978,30343,Dairy,48,for_profit,75,TRUE,2,1600,3,917.3817913897963,108,15,FALSE,0.001,2,9,12,0,0,2,2,42,258
26979,29444,Forest,288,pro_environmental,61,FALSE,3,2465962,3,759092.7896485006,165751,20,FALSE,0.279,3,11,15,1,1,1,0,69,162
26980,29202,Dairy,160,for_profit,66,FALSE,2,1353819,3,1353819,90998,5,FALSE,0.76,2,12,13,1,0,1,2,126,44
26981,29510,Forest,256,pro_environmental,76,FALSE,1,0,0,0,0,21,TRUE,0,2,12,9,0,0,0,0,96,110
26982,29315,Dairy,80,for_profit,62,FALSE,2,1065751,3,611062.8509721668,71635,15,FALSE,0.389,1,11,12,0,0,1,0,72,145
26983,30565,Dairy,160,pro_environmental,48,FALSE,2,1720320,3,986368.902102309,115633,15,FALSE,0.367,3,10,12,0,2,0,0,69,137
26984,29472,SNB,96,for_profit,40,TRUE,3,-12757,3,-12757,-1069,5,FALSE,0.02,2,10,13,2,1,0,0,105,71
26985,28975,SNB,464,for_profit,49,FALSE,2,881994,3,881994,59284,5,FALSE,0.816,6,12,11,3,0,5,5,97,94
26986,30392,Dairy,112,pro_environmental,56,TRUE,4,128,3,128,9,0,FALSE,0,3,12,9,3,0,2,3,140,72
26987,30108,Dairy,96,pro_environmental,48,TRUE,2,0,0,0,0,21,TRUE,0,1,10,17,1,0,0,0,35,271
26988,29300,Forest,208,for_profit,48,FALSE,3,488190,3,488190,32814,5,FALSE,0.34,1,16,6,0,0,0,0,118,144
26989,29549,SNB,64,for_profit,70,TRUE,1,0,0,0,0,21,TRUE,0,3,14,14,3,1,3,0,133,59
26990,29145,Dairy,80,for_profit,77,FALSE,3,3200,3,3200,215,5,FALSE,0.002,1,13,9,0,1,0,1,54,276
26991,29309,Dairy,80,for_profit,67,FALSE,3,310457,3,249115.89822856322,20868,10,FALSE,0.171,1,12,17,1,0,0,1,59,253
26992,29717,Forest,80,for_profit,47,FALSE,2,257479,3,79259.31234378563,17307,20,FALSE,0.112,1,11,17,0,0,0,0,119,156
26993,30586,Dairy,144,for_profit,48,FALSE,5,1900984,3,1900984,127776,5,FALSE,0.725,2,13,13,1,0,1,1,46,243
26994,30321,Dairy,48,for_profit,70,FALSE,2,999,3,999,218,15,FALSE,0,2,14,18,2,0,2,0,115,85
26995,30122,Dairy,112,for_profit,32,FALSE,3,857395,3,687988.1128841642,57630,10,FALSE,0.323,2,10,12,2,1,2,1,106,126
26996,30475,Forest,32,pro_environmental,58,FALSE,4,183131,3,183131,15340,10,FALSE,0.291,1,12,12,0,0,0,0,83,272
26997,29081,Dairy,144,for_profit,51,TRUE,2,628,3,193.3161467610849,137,20,FALSE,0,2,16,12,1,2,0,0,85,165
26998,29244,Dairy,32,for_profit,82,FALSE,2,640,3,513.5467226259368,43,10,FALSE,0.001,2,7,12,0,1,1,2,119,175
26999,28938,Dairy,112,for_profit,65,FALSE,2,0,0,0,0,21,TRUE,0,2,14,12,0,0,0,0,116,95
27000,29485,Forest,224,for_profit,50,FALSE,3,2652057,3,2128054.9696362093,178260,10,FALSE,0.483,1,12,8,0,0,0,0,48,153
27001,29398,Dairy,192,for_profit,55,FALSE,3,8800,3,8800,591,0,FALSE,0.026,3,15,13,0,0,3,3,73,128
27002,29401,Crop,32,pro_environmental,61,TRUE,3,0,0,0,0,21,TRUE,0,1,15,11,1,0,1,0,116,126
27003,29483,Dairy,64,pro_environmental,68,TRUE,2,2518,3,2020.48538683142,211,10,FALSE,0.002,3,11,12,3,3,3,1,88,133
27004,30371,Forest,208,pro_environmental,70,TRUE,1,480,3,385.1600419694526,32,10,FALSE,0,2,13,12,1,0,0,0,26,275
27005,29118,Dairy,160,pro_environmental,82,TRUE,2,7642,3,7642,896,10,FALSE,0.001,3,9,15,3,0,0,3,88,164
27006,30496,Dairy,112,pro_environmental,43,FALSE,2,1368809,3,784825.2828065474,92005,15,FALSE,0.36,2,10,8,0,2,2,0,111,110
27007,30353,Dairy,32,for_profit,75,FALSE,2,64,3,51.35467226259368,4,10,FALSE,0,2,13,15,0,2,2,2,56,256
27008,30351,SNB,272,for_profit,59,FALSE,2,343331,3,196853.50488728136,23077,15,FALSE,0.314,2,14,10,1,0,0,0,50,129
27009,30252,SNB,96,pro_environmental,50,FALSE,3,-24378,3,-24378,-2858,10,FALSE,0.193,2,13,9,1,1,1,0,103,228
27010,30401,Dairy,96,pro_environmental,47,FALSE,3,1303451,3,1045910.9205523437,87612,10,FALSE,0.631,2,11,12,0,0,1,0,20,252
27011,29922,Dairy,208,for_profit,66,TRUE,3,2025,3,2025,237,10,FALSE,0.001,4,10,14,4,0,2,2,56,202
27012,29946,Forest,160,pro_environmental,50,FALSE,4,792811,3,454568.9846334599,53289,15,FALSE,0.416,1,10,13,0,0,0,0,44,273
27013,30029,SNB,352,for_profit,82,FALSE,2,0,0,0,0,21,TRUE,0,4,9,15,1,0,0,2,71,113
27014,28998,SNB,64,for_profit,50,TRUE,4,273979,3,273979,59825,20,FALSE,1,1,11,10,0,0,1,0,132,130
27015,30164,Dairy,112,for_profit,82,TRUE,1,4800,3,4800,323,0,FALSE,0,2,11,13,0,2,2,2,121,111
27016,29426,Forest,64,for_profit,68,TRUE,5,0,0,0,0,21,TRUE,0,1,13,10,0,0,0,0,73,177
27017,29422,Forest,96,pro_environmental,46,FALSE,3,463729,3,463729,31170,5,FALSE,0.301,2,13,12,0,0,0,0,77,276
27018,29020,SNB,96,for_profit,63,TRUE,2,0,0,0,0,21,TRUE,0,1,11,9,0,0,0,0,46,222
27019,29980,Dairy,96,pro_environmental,53,TRUE,2,800,3,800,54,0,FALSE,0,2,13,14,0,1,0,2,79,134
27020,29824,Dairy,128,for_profit,41,FALSE,3,1061107,3,1061107,71323,5,FALSE,0.463,4,14,14,4,1,4,0,93,122
27021,29670,Dairy,384,pro_environmental,59,FALSE,4,1998480,3,1998480,134329,5,FALSE,0.286,1,9,13,0,0,0,1,72,257
27022,30397,Dairy,384,for_profit,70,FALSE,1,1536,3,1232.5121343022483,103,10,FALSE,0,1,16,12,1,0,1,0,107,148
27023,29182,Crop,144,for_profit,45,TRUE,4,-127872,3,-127872,-8595,5,FALSE,-0.047,2,13,14,1,0,1,0,13,300
27024,30522,Dairy,80,for_profit,64,TRUE,4,320,3,320,22,0,FALSE,0,1,9,16,1,1,1,0,61,163
27025,29271,Forest,96,for_profit,54,FALSE,3,223875,3,179641.050824815,15048,10,FALSE,0.271,1,11,16,0,0,0,0,46,150
27026,30107,Forest,800,for_profit,47,FALSE,3,3114043,3,3114043,209313,5,FALSE,0.696,9,11,7,0,0,0,0,159,12
27027,29327,Forest,96,pro_environmental,55,FALSE,5,286338,3,229762.40853635233,19246,10,FALSE,0.272,2,11,14,0,0,0,0,114,91
27028,29376,Forest,64,pro_environmental,55,TRUE,3,800,3,800,54,5,FALSE,0.001,2,16,9,0,0,1,1,87,126
27029,30449,Dairy,128,pro_environmental,55,TRUE,3,44296,3,44296,9672,15,FALSE,0.036,4,13,17,3,2,0,3,123,65
27030,29735,SNB,128,pro_environmental,53,FALSE,2,74365,3,74365,6229,10,FALSE,0.292,2,16,16,0,0,1,2,94,91
27031,29536,Dairy,96,pro_environmental,59,FALSE,2,433368,3,133402.91702158892,29129,20,FALSE,0.087,2,12,13,1,0,0,0,54,141
27032,30448,SNB,64,for_profit,67,TRUE,3,44464,3,44464,5213,15,FALSE,0.28,2,14,12,2,0,0,2,127,53
27033,29623,Dairy,112,for_profit,50,TRUE,2,5926,3,3397.7528098599582,496,15,FALSE,0.002,2,8,13,1,2,0,2,125,42
27034,29963,Forest,32,for_profit,59,FALSE,3,381190,3,305873.24249653256,25622,10,FALSE,0.569,1,9,13,0,0,0,0,121,225
27035,30144,Dairy,240,for_profit,48,TRUE,2,1581,3,1581,185,10,FALSE,0,4,10,9,3,4,2,4,116,119
27036,29595,SNB,112,for_profit,65,FALSE,2,64,3,64,4,5,FALSE,0,4,12,14,1,0,4,0,129,43
27037,29681,Dairy,176,for_profit,42,TRUE,4,3508,3,3508,294,5,FALSE,0,2,12,12,1,1,2,0,98,243
27038,29582,SNB,176,for_profit,80,TRUE,2,8642,3,8642,724,5,FALSE,0.002,2,15,16,1,0,1,2,24,268
27039,30544,Dairy,144,pro_environmental,67,TRUE,1,1600,3,1600,108,0,FALSE,0,2,10,13,0,2,2,2,59,158
27040,29098,Dairy,160,for_profit,45,TRUE,4,4320,3,4320,290,0,FALSE,0,2,14,18,2,0,2,0,47,143
27041,30354,Dairy,144,pro_environmental,56,FALSE,2,1645439,3,1645439,110599,5,FALSE,0.609,2,13,12,2,0,0,0,120,74
27042,30348,Forest,64,for_profit,77,TRUE,2,0,0,0,0,21,TRUE,0,2,15,10,0,1,0,0,127,76
27043,30116,Dairy,256,for_profit,65,FALSE,2,8960,3,8960,602,0,FALSE,0.234,2,14,9,2,2,0,1,91,111
27044,29608,Crop,64,for_profit,75,FALSE,2,0,0,0,0,21,TRUE,0,2,9,11,2,0,0,0,105,139
27045,30137,SNB,272,for_profit,67,TRUE,3,64,3,19.70100858711693,4,20,FALSE,0,4,14,11,3,0,1,4,12,314
27046,30417,SNB,64,for_profit,48,FALSE,2,67236,3,67236,4519,5,FALSE,0.399,1,12,15,1,0,0,0,144,88
27047,29910,SNB,352,for_profit,63,TRUE,1,-351648,3,-351648,-23636,0,FALSE,0,1,16,13,1,1,0,0,129,206
27048,29189,Dairy,160,for_profit,66,FALSE,3,919491,3,919491,61804,5,FALSE,0.278,3,13,10,0,3,1,0,122,133
27049,30163,Dairy,64,for_profit,74,TRUE,3,640,3,513.5467226259368,43,10,FALSE,0,2,9,13,0,1,2,2,147,215
27050,29287,SNB,208,for_profit,74,FALSE,3,481956,3,148359.67647832073,32395,20,FALSE,0.115,7,12,12,0,0,2,0,95,80
27051,29495,SNB,160,pro_environmental,61,FALSE,1,-168478,3,-168478,-36788,15,FALSE,-0.137,2,11,7,2,1,2,0,18,275
27052,29957,Forest,112,for_profit,49,FALSE,2,0,0,0,0,21,TRUE,0,2,8,7,0,0,0,0,103,211
27053,29689,Dairy,96,for_profit,53,TRUE,1,64,3,64,4,5,FALSE,0,4,13,10,4,4,4,0,145,211
27054,29715,Dairy,64,pro_environmental,49,FALSE,3,800,3,800,54,0,FALSE,0.163,2,13,14,2,0,2,2,133,213
27055,28890,Forest,80,for_profit,60,FALSE,3,740998,3,740998,49807,5,FALSE,0.471,1,11,15,0,0,0,0,83,197
27056,29875,Dairy,32,for_profit,63,TRUE,3,73193,3,73193,15982,20,FALSE,0.126,1,11,10,1,1,0,0,110,99
27057,30302,Forest,80,for_profit,57,TRUE,3,0,0,0,0,21,TRUE,0,2,16,12,0,0,0,0,9,310
27058,29740,Forest,96,for_profit,58,TRUE,5,429265,3,246124.93417558807,28853,15,FALSE,0.39,2,12,7,0,0,0,0,85,260
27059,30422,Dairy,144,for_profit,72,TRUE,4,0,0,0,0,21,TRUE,0,1,12,14,0,0,0,0,92,185
27060,29288,Dairy,112,for_profit,58,TRUE,6,105899,3,32598.704818235874,23124,20,FALSE,0.015,1,12,8,0,0,0,1,48,259
27061,30192,SNB,128,for_profit,70,FALSE,4,93101,3,93101,10914,15,FALSE,0.361,2,8,11,2,1,1,0,142,196
27062,29293,SNB,144,for_profit,52,FALSE,3,158542,3,158542,18586,15,FALSE,0.372,1,13,10,0,0,0,1,67,275
27063,29612,Dairy,80,pro_environmental,48,TRUE,4,1920,3,1920,129,5,FALSE,0.002,2,14,15,0,1,0,0,94,73
27064,29217,SNB,208,pro_environmental,73,TRUE,1,-68962,3,-21228.45240913684,-5777,20,FALSE,-0.044,2,11,11,2,1,1,2,84,97
27065,28858,Dairy,192,for_profit,61,FALSE,4,198178,3,198178,43273,15,FALSE,0.142,2,16,11,0,0,1,0,57,124
27066,29728,Forest,272,for_profit,66,FALSE,3,1830926,3,1830926,123067,5,FALSE,0.684,2,13,11,1,0,0,0,73,137
